univiersities,carrera,inscription_dates,names,sexo,fechas_nacimiento,direcciones,email,localidad
-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,2020-11-21,David-becker,M,33/Jun/07,"5690-garcia-walks
carolton,-tn-66865",Tracey55@gmail.com,Bañadito-viejo
-universidad-abierta-interamericana,Licenciatura-en-relaciones-del-trabajo-,2020-12-19,Jeremiah-lawson,M,77/Dec/25,"453-mark-mountains
jonestown,-ak-42168",Yfoster@yahoo.com,Colonia-san-francisco
-universidad-abierta-interamericana,Ciencias-veterinarias,2020-10-19,Brenda-delgado,F,08/Aug/23,"328-stephen-grove
new-kelli,-nj-55788",Warmstrong@hotmail.com,El-jumeal
-universidad-abierta-interamericana,Licenciatura-en-artes,2020-10-19,Kevin-thornton,M,49/Dec/08,"99180-stone-views
christinaburgh,-ky-45968",Jacqueline11@gmail.com,La-lucila
-universidad-abierta-interamericana,Arquitectura,2021-01-20,Casey-woodward,F,33/Apr/02,"50246-duncan-oval-suite-294
hallhaven,-mn-50241",Tateaaron@gmail.com,Arenales
-universidad-abierta-interamericana,Licenciatura-en-administración-,2020-10-19,Jonathan-ruiz,M,21/Jun/02,"6877-williams-square-apt.-120
nancyland,-al-77168",Georgejones@hotmail.com,Bajo-caracoles
-universidad-abierta-interamericana,Licenciatura-en-gestión-de-agroalimentos,2020-11-20,Heather-price,F,69/Sep/12,"857-sharon-groves
austinton,-la-85229",Milesstephen@gmail.com,El-perdido-est-jose-guisasola
-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,2020-12-19,William-rosario,M,95/Feb/27,"7888-moon-run
port-lauren,-mo-54896",Ryan63@hotmail.com,Casablanca
-universidad-abierta-interamericana,Licenciatura-en-psicología,2020-10-19,Emily-reese,F,37/Aug/18,"Uscgc-davis
fpo-ap-85821",Kellyyvette@hotmail.com,Costa-del-rio-azul
-universidad-abierta-interamericana,Técnico-para-bioterios-,2021-01-21,Christopher-johnson,M,76/Jul/02,"418-nathan-garden
smithshire,-ri-30434",Stewartgary@yahoo.com,El-carmen
-universidad-abierta-interamericana,Farmacia,2020-11-20,Nicole-webb,F,00/Sep/11,"19374-cheryl-parks-apt.-018
port-jason,-md-17452",Pmedina@hotmail.com,Las-palmas
-universidad-abierta-interamericana,Licenciatura-en-ciencias-biológicas,2020-10-21,Jason-phelps,M,11/Sep/02,"9642-wanda-loop-apt.-104
paynebury,-la-01557",Rhendricks@yahoo.com,Adrogue
-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-educación-,2020-09-20,Gary-becker,M,12/Sep/18,"Unit-8526-box-2399
dpo-ae-51678",Rebeccaray@yahoo.com,Algarrobal-abajo
-universidad-abierta-interamericana,Bioquímica,2020-10-20,Gregory-duncan,M,33/Jun/03,"155-christopher-shoals
osbornehaven,-wv-67045",Jennifermontgomery@hotmail.com,Colonia-jauregui
